Key,english

modmuzzle_ash12_ckib_ash12_std_127x55,"Loa giảm giật ASh-12 12.7x55"
modmuzzle_ash12_ckib_ash12_std_127x55Desc,"Trọng lượng: 0.15kg\nCông thái học: -1\nĐộ giật: -17%\nHao mòn độ bền: mặc định\nTương thích với: ASh-12"

modsilencer_ash12_ckib_ash12_std_127x55,"Ống giảm thanh ASh-12 12.7x55"
modsilencer_ash12_ckib_ash12_std_127x55Desc,"Trọng lượng: 0.7kg\nCông thái học: -21\nĐộ giật: -13%\nHao mòn độ bền: +15%\nTương thích với: ASh-12"

modsilencer_sdqd_griffin_m4sd_k_silencer_556x45,"Ống giảm thanh AR-15 Griffin Armament M4SD-K 5.56x45"
modsilencer_sdqd_griffin_m4sd_k_silencer_556x45Desc,"Trọng lượng: 0.46kg\nCông thái học: -20\nĐộ giật: -15%\nHao mòn độ bền: +15%\nTương thích với: súng trường 5.56x45 và 5.45x39"

modsilencer_socom_surefire_socom556_rc2_556x45,"Ống giảm thanh SureFire SOCOM556-RC2 5.56x45"
modsilencer_socom_surefire_socom556_rc2_556x45Desc,"Trọng lượng: 0.54kg\nCông thái học: -18\nĐộ giật: -13%\nHao mòn độ bền: +15%\nTương thích với: súng trường 5.56x45 và 5.45x39"

modmuzzle_ar15_ferfrans_muzzle_brake_556x45,"Loa giảm giật AR-15 Ferfrans CQB 5.56x45"
modmuzzle_ar15_ferfrans_muzzle_brake_556x45Desc,"Trọng lượng: 0.29kg\nCông thái học: -4\nĐộ giật: -12%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 5.56x45 và 5.45x39"

modmuzzle_ar15_double_star_carlson_tac_comp_556x45,"Bộ bù giật AR-15 DoubleStar CarlsonTacComp 5.56x45"
modmuzzle_ar15_double_star_carlson_tac_comp_556x45Desc,"Trọng lượng: 0.21kg\nCông thái học: -1\nĐộ giật: -7%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 5.56x45 và 5.45x39"

modmuzzle_ar15_alientech_gubich_muzzle_brake_556x45,"Loa giảm giật AR-15 AlienTech 5.56x45"
modmuzzle_ar15_alientech_gubich_muzzle_brake_556x45Desc,"Trọng lượng: 0.09kg\nCông thái học: -2\nĐộ giật: -8%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 5.56x45 và 5.45x39"

modmuzzle_ar10_15_thunder_beast_muzzle_brake,"Loa giảm giật AR-10/15 ThunderBeastArms CB 7.62x51/5.56x45"
modmuzzle_ar10_15_thunder_beast_muzzle_brakeDesc,"Trọng lượng: 0.11kg\nCông thái học: -1\nĐộ giật: -6%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 5.56x45, 5.45x39, 7.62x39 và 7.62x51"

modsilencer_tbac_thunder_beast_ultra_5,"Ống giảm thanh Thunder Beast Arms Ultra 5"
modsilencer_tbac_thunder_beast_ultra_5Desc,"Trọng lượng: 0.21kg\nCông thái học: -23\nĐộ giật: -9%\nHao mòn độ bền: +15%\nTương thích với: súng trường 5.56x45, 5.45x39, 7.62x39 và 7.62x51\nYêu cầu bộ chuyển đổi: 'Loa giảm giật AR-10/15 ThunderBeastArms CB 7.62x51/5.56x45'"

modsilencer_aac_sdn_6_multi,"Ống giảm thanh đa cỡ nòng AAC 762-SDN-6"
modsilencer_aac_sdn_6_multiDesc,"Trọng lượng: 0.69kg\nCông thái học: -27\nĐộ giật: -16%\nHao mòn độ bền: +15%\nTương thích với: súng trường 5.56x45, 5.45x39, 7.62x39 và 7.62x51"

modmuzzle_ar10_precision_armament_m11_severe_duty_muzzle_brake_762x51,"Loa giảm giật AR-10 PrecisionArmanent M11 Severe-Duty 7.62x51"
modmuzzle_ar10_precision_armament_m11_severe_duty_muzzle_brake_762x51Desc,"Trọng lượng: 0.12kg\nCông thái học: -1\nĐộ giật: -7%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 7.62x39 và 7.62x51"

modmuzzle_ar10_kac_qdc_muzzle_brake_kit_762x51,"Bộ loa giảm giật AR-10 KAC QDC 7.62x51"
modmuzzle_ar10_kac_qdc_muzzle_brake_kit_762x51Desc,"Trọng lượng: 0.14kg\nCông thái học: -1\nĐộ giật: -9%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 7.62x39 và 7.62x51"

modsilencer_qdc_kac_prs_qdc_762x51,"Ống giảm thanh KAC PRS/QDC 7.62x51"
modsilencer_qdc_kac_prs_qdc_762x51Desc,"Trọng lượng: 0.59kg\nCông thái học: -23\nĐộ giật: -8%\nHao mòn độ bền: +15%\nTương thích với: súng trường 7.62x39 và 7.62x51"

modmuzzle_ar10_lantac_dgn762b_muzzle_brake_762x51,"Loa giảm giật AR-10 Lantac Dragon 7.62x51"
modmuzzle_ar10_lantac_dgn762b_muzzle_brake_762x51Desc,"Trọng lượng: 0.3kg\nCông thái học: -6\nĐộ giật: -18%\nHao mòn độ bền: mặc định\nTương thích với: súng trường 7.62x39 và 7.62x51"

modsilencer_bt_g28_sd_762x51,"Ống giảm thanh HK G28/417 B&T QD 7.62x51"
modsilencer_bt_g28_sd_762x51Desc,"Trọng lượng: 0.58kg\nCông thái học: -19\nĐộ giật: -14%\nHao mòn độ bền: +15%\nTương thích với: HK 417, HK G28"

modsilencer_clutchlok_sig_slx68_mg_qd_suppressor_68x51,"Ống giảm thanh MCX-SPEAR SLX68-MG-QD 6.8x51"
modsilencer_clutchlok_sig_slx68_mg_qd_suppressor_68x51Desc,"Trọng lượng: 0.71kg\nCông thái học: -24\nĐộ giật: -17%\nHao mòn độ bền: +15%\nTương thích với: MCX Spear"

modmuzzle_base_sig_two_port_brake_762x51,"Loa giảm giật SIG Sauer Two Port Brake 7.62x51"
modmuzzle_base_sig_two_port_brake_762x51Desc,"Trọng lượng: 0.1kg\nCông thái học: -1\nĐộ giật: -6%\nHao mòn độ bền: mặc định\nTương thích với: súng trường sử dụng đạn .300Blackout, 7.62x39 và 7.62x51"

modsilencer_base_sig_srd_762_qd_762x51,"Ống giảm thanh SIG Sauer SRD762-QD 7.62x51"
modsilencer_base_sig_srd_762_qd_762x51Desc,"Trọng lượng: 0.46kg\nCông thái học: -24\nĐộ giật: -9%\nHao mòn độ bền: +15%\nTương thích với: súng trường .300Blackout, 7.62x39 và 7.62x51\nYêu cầu bộ chuyển đổi: 'Loa giảm giật SIG Sauer Two Port Brake 7.62x51'"

modsilencer_all_sig_srd_ti_762_762x51,"Ống giảm thanh SIG Sauer SRD762Ti 7.62x51"
modsilencer_all_sig_srd_ti_762_762x51Desc,"Trọng lượng: 0.46kg\nCông thái học: -23\nĐộ giật: -8%\nHao mòn độ bền: +15%\nTương thích với: súng trường .300Blackout, 7.62x39 và 7.62x51"

modmuzzle_all_accuracy_international_tactical_muzzle_brake_86x70,"Loa giảm giật chiến thuật AI .338 LM"
modmuzzle_all_accuracy_international_tactical_muzzle_brake_86x70Desc,"Trọng lượng: 0.23kg\nCông thái học: -2\nĐộ giật: -8%\nHao mòn độ bền: mặc định\nTương thích với: súng trường .338LM"

modsilencer_ai_accuracy_international_tactical_sound_moderator_86x70,"Ống giảm thanh chiến thuật AI .338 LM"
modsilencer_ai_accuracy_international_tactical_sound_moderator_86x70Desc,"Trọng lượng: 0.67kg\nCông thái học: -30\nĐộ giật: -11%\nHao mòn độ bền: +15%\nTương thích với: súng trường .338LM\nYêu cầu bộ chuyển đổi: 'Loa giảm giật chiến thuật AI .338 LM'"

modsilencer_12g_hexagon_12k,"Ống giảm thanh Hexagon 12K 12ga"
modsilencer_12g_hexagon_12kDesc,"Trọng lượng: 0.6kg\nCông thái học: -27\nĐộ giật: -11%\nHao mòn độ bền: +15%\nTương thích với: hầu hết súng shotgun 12Ga"

modsilencer_base_silencerco_salvo_12g,"Ống giảm thanh SilencerCo Salvo 12 12ga"
modsilencer_base_silencerco_salvo_12gDesc,"Trọng lượng: 1.1kg\nCông thái học: -27\nĐộ giật: -14%\nHao mòn độ bền: +15%\nTương thích với: hầu hết súng shotgun 12Ga\nGiảm âm thanh hiệu quả hơn."
 
modmuzzle_12g_remington_tactical_12,"Đầu thu nòng chiến thuật Remington 12ga"
modmuzzle_12g_remington_tactical_12Desc,"Trọng lượng: 0.1kg\nCông thái học: mặc định\nĐộ giật: -6%\nĐộ chụm: -50%\nTương thích với: hầu hết súng shotgun 12Ga"

modmuzzle_12g_red_heat_gk_02_12g,"Loa giảm giật GK-02 12ga"
modmuzzle_12g_red_heat_gk_02_12gDesc,"Trọng lượng: 0.35kg\nCông thái học: -1\nĐộ giật: -10%\nHao mòn độ bền: mặc định\nTương thích với: hầu hết súng shotgun 12Ga"

modmuzzle_saiga12_css_monster_caw_large_12g,"Loa giảm giật Tromix Monster Claw 12ga"
modmuzzle_saiga12_css_monster_caw_large_12gDesc,"Trọng lượng: 0.46kg\nCông thái học: -5\nĐộ giật: -17%\nHao mòn độ bền: mặc định\nTương thích với: hầu hết súng shotgun 12Ga"

modstock_stechkin_wire,"Báng súng khung thép tháo rời Stechkin APS"
modstock_stechkin_wireDesc,"Trọng lượng: 0.15kg\nCông thái học: +0\nĐộ giật: -27%\nTương thích với: Stechkin APS "

modstock_glock_fab_defence_glr_17,"Báng súng Glock FAB Defense GLR-17"
modstock_glock_fab_defence_glr_17Desc,"Trọng lượng: 0.39kg\nCông thái học: +4\nĐộ giật: -23%\nTương thích với: các dòng súng lục Glock"

modstock_mp5k_pdw_stock,"Báng súng HK MP5-K PDW"
modstock_mp5k_pdw_stockDesc,"Trọng lượng: 0.32kg\nCông thái học: +7\nĐộ giật: -20%\nTương thích với: MP5-K"

modstock_mp5_hk_a2_std,"Báng súng cố định HK MP5 A2"
modstock_mp5_hk_a2_stdDesc,"Trọng lượng: 0.4kg\nCông thái học: +2\nĐộ giật: -29%\nTương thích với: MP5 và MP5SD"

modstock_p90_damage industries_butt_pad,"Đệm báng súng FN P90 Damage Industries"
modstock_p90_damage industries_butt_padDesc,"Trọng lượng: 0.09kg\nCông thái học: +2\nĐộ giật: -2%\nTương thích với: P90"

modstock_ak_zenit_pt_1,"Báng súng AK Zenit PT-1 'Klassika'"
modstock_ak_zenit_pt_1Desc,"Trọng lượng: 0.48kg\nCông thái học: +11\nĐộ giật: -27%\nTương thích với: các loại súng dòng AK"

modstock_ak_zenit_pt_3,"Báng súng AK Zenit PT-3 'Klassika'"
modstock_ak_zenit_pt_3Desc,"Trọng lượng: 0.25kg\nCông thái học: +11\nĐộ giật: -27%\nTương thích với: Saiga-12K, AKS-74UN, AK-74M, AK-107, AK-109, AK-12, RPK-16, PP-19-01 'Vityaz'"

modstock_ak_magpul_zhukov_s,"Báng súng cố định AK Magpul Zhukov-S"
modstock_ak_magpul_zhukov_sDesc,"Trọng lượng: 0.43kg\nCông thái học: +15\nĐộ giật: -28%\nTương thích với: AKM, AK-103, AK-74N, Velociraptor, RD-704"

modstock_ak_hexagon_kocherga_red,"Báng súng cố định AK Hexagon ""Kocherga"""
modstock_ak_hexagon_kocherga_redDesc,"Trọng lượng: 0.18kg\nCông thái học: +12\nĐộ giật: -24%\nTương thích với: AKM, AK-103, AK-74N, Velociraptor, RD-704"

modstock_ak_hera_arms_cqr47,"Tay cầm súng lục/Báng súng AK Hera Arms CQR47"
modstock_ak_hera_arms_cqr47Desc,"Trọng lượng: 0.53kg\nCông thái học: +16\nĐộ giật: -25%\nTương thích với: AKM, AK-103, AK-74N, Velociraptor, RD-704"

modstock_ak_promag_archangel_opfor_aa47,"Báng súng cố định AK ProMag Archangel OPFOR AA47"
modstock_ak_promag_archangel_opfor_aa47Desc,"Trọng lượng: 0.39kg\nCông thái học: +17\nĐộ giật: -27%\nTương thích với: AKM, AK-103, AK-74N, Velociraptor, RD-704"

modstock_ak_izhmash_ak_evo,"Báng súng AK AK-EVO"
modstock_ak_izhmash_ak_evoDesc,"Trọng lượng: 0.4kg\nCông thái học: +15\nĐộ giật: -28%\nTương thích với: Saiga-12K, AKS-74UN, AK-74M, AK-107, AK-109, AK-12, RPK-16, PP-19-01 'Vityaz'"

modstock_a2_ar15_magpul_prs_gen3,"Báng súng AR-15 Magpul PRS GEN3"
modstock_a2_ar15_magpul_prs_gen3Desc,"Trọng lượng: 0.78kg\nCông thái học: +3\nĐộ giật: -24%\nTương thích với: Hầu hết các loại súng trừ: SR-25, HK 416A5, RSASS"

modstock_ar15_b5_precision,"Báng súng độ chính xác có thể thu gọn B5 Systems (AR-15)"
modstock_ar15_b5_precisionDesc,"Trọng lượng: 0.16kg\nCông thái học: +1\nĐộ giật: -24%\nTương thích với: Hầu hết các loại súng trừ: Sword MK-18"

modstock_ar15_cmmg_ripstock_micro,"Báng súng AR-15 CMMG RipStock"
modstock_ar15_cmmg_ripstock_microDesc,"Trọng lượng: 0.28kg\nCông thái học: +8\nĐộ giật: -19%\nTương thích với: Hầu hết các loại súng trừ: MK-47 'Mutant'"

modstock_ar15_colt_n1,"Báng súng AR-15 Colt N1"
modstock_ar15_colt_n1Desc,"Trọng lượng: 0.2kg\nCông thái học: +11\nĐộ giật: -19%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_dd_enhanced_collapsible_buttstock,"Báng súng có thể thu gọn nâng cao Daniel Defense (AR-15)"
modstock_ar15_dd_enhanced_collapsible_buttstockDesc,"Trọng lượng: 0.29kg\nCông thái học: +14\nĐộ giật: -21%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_double_star_ace_socom_gen_4,"Báng súng AR-15 DoubleStar ACE SOCOM Gen.4"
modstock_ar15_double_star_ace_socom_gen_4Desc,"Trọng lượng: 0.69kg\nCông thái học: +6\nĐộ giật: -24%\nTương thích với: Hầu hết các loại súng "

modstock_ar15_ergo_f93_pro_stock,"Báng súng AR-15 ERGO F93 PRO"
modstock_ar15_ergo_f93_pro_stockDesc,"Trọng lượng: 0.59kg\nCông thái học: +10\nĐộ giật: -21%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_fab_defense_gl_core,"Báng súng AR-15 FAB Defense GL-CORE"
modstock_ar15_fab_defense_gl_coreDesc,"Trọng lượng: 0.27kg\nCông thái học: +15\nĐộ giật: -19%\nTương thích với: Hầu hết các loại súng trừ: STM-9"

modstock_ar15_fab_defense_gl_shock,"Báng súng AR-15 FAB Defense GL-SHOCK"
modstock_ar15_fab_defense_gl_shockDesc,"Trọng lượng: 0.31kg\nCông thái học: +13\nĐộ giật: -20%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_fab_defense_glr_16_s,"Báng súng AR-15 FAB Defense GLR-16-S"
modstock_ar15_fab_defense_glr_16_sDesc,"Trọng lượng: 0.28kg\nCông thái học: +13\nĐộ giật: -20%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_high_standart_m4ss,"Báng súng AR-15 High Standard M4SS"
modstock_ar15_high_standart_m4ssDesc,"Trọng lượng: 0.7kg\nCông thái học: +4\nĐộ giật: -19%\nTương thích với: Hầu hết các loại súng trừ: M4A1 và M32A1 MGL"

modstock_ar15_hk_e1,"Báng súng AR-15 HK E1"
modstock_ar15_hk_e1Desc,"Trọng lượng: 0.39kg\nCông thái học: +4\nĐộ giật: -23%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_hk_slim_line,"Báng súng AR-15 HK Slim Line"
modstock_ar15_hk_slim_lineDesc,"Trọng lượng: 0.7kg\nCông thái học: +5\nĐộ giật: -21%\nTương thích với: Hầu hết các loại súng trừ: HK 416A5"

modstock_ar15_kriss_defiance_ds150,"Báng súng AR-15 KRISS Defiance DS150"
modstock_ar15_kriss_defiance_ds150Desc,"Trọng lượng: 0.4kg\nCông thái học: +9\nĐộ giật: -22%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_lmt_sopmod,"Báng súng AR-15 LMT SOPMOD"
modstock_ar15_lmt_sopmodDesc,"Trọng lượng: 0.15kg\nCông thái học: +6\nĐộ giật: -20%\nTương thích với: Hầu hết các loại súng trừ: SR-25"

modstock_ar15_magpul_acs_carbine,"Báng súng AR-15 Magpul ACS Carbine"
modstock_ar15_magpul_acs_carbineDesc,"Trọng lượng: 0.33kg\nCông thái học: +6\nĐộ giật: -24%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_magpul_moe_carbine,"Báng súng AR-15 Magpul MOE Carbine"
modstock_ar15_magpul_moe_carbineDesc,"Trọng lượng: 0.29kg\nCông thái học: +10\nĐộ giật: -23%\nTương thích với: Hầu hết các loại súng trừ: CGNL 545, M14-SASS"

modstock_ar15_magpul_moe_sl_k_carbine_ct,"Báng súng AR-15 Magpul MOE SL-K"
modstock_ar15_magpul_moe_sl_k_carbine_ctDesc,"Trọng lượng: 0.39kg\nCông thái học: +10\nĐộ giật: -22%\nTương thích với: Hầu hết các loại súng trừ: MCX Spear"

modstock_ar15_magpul_ubr_gen2,"Báng súng AR-15 Magpul UBR GEN2"
modstock_ar15_magpul_ubr_gen2Desc,"Trọng lượng: 0.61kg\nCông thái học: +7\nĐộ giật: -23%\nTương thích với: Hầu hết các loại súng trừ: SR-25"

modstock_ar15_mft_bus,"Báng súng AR-15 MFT BUS"
modstock_ar15_mft_busDesc,"Trọng lượng: 0.26kg\nCông thái học: +2\nĐộ giật: -22%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_sb_tactical_sba3,"Khung ổn định AR-15 SB Tactical SBA3"
modstock_ar15_sb_tactical_sba3Desc,"Trọng lượng: 0.19kg\nCông thái học: +4\nĐộ giật: -15%\nTương thích với: Hầu hết các loại súng trừ: RD-704"

modstock_ar15_strike_industries_viper_mod_1,"Báng súng AR-15 Strike Industries Viper Mod 1"
modstock_ar15_strike_industries_viper_mod_1Desc,"Trọng lượng: 0.19kg\nCông thái học: +11\nĐộ giật: -21%\nTương thích với: Hầu hết các loại súng"

modstock_ar15_strike_industries_viper_pdw_stock,"Báng súng AR-15 Strike Industries Viper PDW"
modstock_ar15_strike_industries_viper_pdw_stockDesc,"Trọng lượng: 0.57kg\nCông thái học: +21\nĐộ giật: -18%\nTương thích với: Hầu hết các loại súng trừ: SR-25, RSASS, MK-18"

modstock_ar15_troy_m7a1_pdw,"Báng súng AR-15 TROY M7A1 PDW"
modstock_ar15_troy_m7a1_pdwDesc,"Trọng lượng: 0.4kg\nCông thái học: +18\nĐộ giật: -18%\nTương thích với: Hầu hết các loại súng trừ: SR-25, RSASS, MK-18"

modstock_ar15_vltor_emod,"Báng súng AR-15 Vltor EMOD"
modstock_ar15_vltor_emodDesc,"Trọng lượng: 0.39kg\nCông thái học: +9\nĐộ giật: -22%\nTương thích với: Hầu hết các loại súng"

modstock_iwi_carmel_ergo_stock,"Báng súng IWI Carmel ERGO"
modstock_iwi_carmel_ergo_stockDesc,"Trọng lượng: 0.55kg\nCông thái học: +11\nĐộ giật: -21%\nTương thích với: IWI Carmel"

modstock_sig_mpx_brace,"Khung ổn định súng lục SB Tactical MPX"
modstock_sig_mpx_braceDesc,"Trọng lượng: 0.39kg\nCông thái học: +12\nĐộ giật: -16%\nTương thích với: MPX, MCX, MCX Spear, SCAR-H UZI, UZI PRO SMG và các loại súng dòng AK"

modstock_sig_mpx_maxim_defence_cqb_stock,"Báng súng MPX/MCX Maxim Defense CQB"
modstock_sig_mpx_maxim_defence_cqb_stockDesc,"Trọng lượng: 0.5kg\nCông thái học: +15\nĐộ giật: -21%\nTương thích với: MPX, MCX, MCX Spear, SCAR-H, UZI, UZI PRO SMG và các loại súng dòng AK"

modstock_sig_mpx_mcx_early_type,"Báng súng SIG Sauer (Kéo dài/Thu gọn)"
modstock_sig_mpx_mcx_early_typeDesc,"Trọng lượng: 0.4kg\nCông thái học: +17\nĐộ giật: -18%\nTương thích với: MCX, MCX Spear, SCAR-H, UZI, UZI PRO SMG và các loại súng dòng AK trừ MPX"

modstock_sig_mpx_pmm_ulss,"Báng súng MPX/MCX PMM ULSS"
modstock_sig_mpx_pmm_ulssDesc,"Trọng lượng: 0.46kg\nCông thái học: +3\nĐộ giật: -23%\nTương thích với: MPX, MCX, MCX Spear, SCAR-H, UZI, UZI PRO SMG và các loại súng dòng AK"

modstock_sig_telescoping_stock,"Báng súng SIG Sauer (Gấp/Kéo dài)"
modstock_sig_telescoping_stockDesc,"Trọng lượng: 0.34kg\nCông thái học: +10\nĐộ giật: -20%\nTương thích với: MPX, MCX, MCX Spear, SCAR-H, UZI, UZI PRO SMG và các loại súng dòng AK"

modstock_sig_thin_folding_stock,"Báng súng SIG Sauer gấp hông (Loại mỏng)"
modstock_sig_thin_folding_stockDesc,"Trọng lượng: 0.27kg\nCông thái học: +5\nĐộ giật: -22%\nTương thích với: MPX, MCX Spear, SCAR-H, UZI, UZI PRO SMG và các loại súng dòng AK trừ MCX"

modstock_sig_magpul_ucs,"Báng súng Magpul UCS"
modstock_sig_magpul_ucsDesc,"Trọng lượng: 0.51kg\nCông thái học: +16\nĐộ giật: -25%\nTương thích với: MPX, MCX, MCX Spear, SCAR-H UZI, UZI PRO SMG và các loại súng dòng AK"

modstock_fal_magpul_prs_2,"Báng súng polymer SA58/FAL Magpul PRS 2"
modstock_fal_magpul_prs_2Desc,"Trọng lượng: 0.86kg\nCông thái học: +16\nĐộ giật: -24%\nTương thích với: Súng trường FN FAL"

modstock_mk17_vltor_vss_11,"Báng súng polymer FN SCAR Vltor VSS-11"
modstock_mk17_vltor_vss_11Desc,"Trọng lượng: 0.22kg\nCông thái học: +10\nĐộ giật: -23%\nTương thích với: SCAR-H"

modstock_pk_zenit_pt2_classic,"Báng súng PK Zenit PT-2 'Klassika'"
modstock_pk_zenit_pt2_classicDesc,"Trọng lượng: 1.02kg\nCông thái học: +3\nĐộ giật: -22%\nTương thích với: PKP Pecheneg"

resourceWeaponRepairKit,"Bộ dụng cụ sửa chữa vũ khí"
resourceWeaponRepairKitDesc,"Bộ dụng cụ sửa chữa vũ khí được dùng để sửa chữa tất cả các loại súng bắn tầm xa."
resourceArmorRepairKit,"Bộ dụng cụ sửa chữa giáp"
resourceWeaponParts,"Phụ tùng vũ khí[-]"
resourceWeaponPartsDesc,"Phụ tùng vũ khí là tài nguyên quý giá, đặc biệt là trong việc chế tạo vũ trang."
resourceWD40,"Dầu chống rỉ WD40 (100ml)"
resourceWD40Desc,"Một tài nguyên hiếm với nhiều công dụng."
resourceMultitool,"Kìm đa năng Leatherman[-]"
resourceMultitoolDesc,"Một dụng cụ hiếm với nhiều ứng dụng khác nhau.\n\nĐược dùng để chế tạo bản vẽ T1 & T2 và các vật phẩm & phụ kiện T2."
resourceToolset,"[FFD700]Bộ dụng cụ (Toolset)[-]"
resourceToolsetDesc,"Một túi đồ của thợ sửa chữa với một bộ các công cụ khác nhau.\n\nĐược dùng để chế tạo bản vẽ T3/4/5 và các vật phẩm & phụ kiện T5."

bundleWeaponsCaseT2_1,"Hộp vũ khí"
bundleWeaponsCaseT2_2,"Hộp vũ khí"
bundleWeaponsCaseT2_3,"Hộp vũ khí"
bundlePistolCaseGoldenTT,"[FFD700]Hộp súng lục Golden TT[-]"
bundlePistolCaseTT,"Hộp súng lục TT"
bundlePistolCaseTTM,"Hộp súng lục TTM"
bundlePistolCasePM,"Hộp súng lục PM"
bundlePistolCaseAPS,"Hộp súng lục APS"
bundlePistolCaseG17,"Hộp súng lục G17"
bundlePistolCaseP226,"Hộp súng lục P226"
bundlePistolCaseM9A3,"Hộp súng lục M9A3"
bundlePistolCaseG18C,"Hộp súng lục G18C"
bundlePistolCaseSR1MP,"Hộp súng lục SR1MP"
bundlePistolCaseUSP45T,"Hộp súng lục USP45"
bundlePistolCase1911,"Hộp súng lục 1911"
bundlePistolCaseUSP45M,"Hộp súng lục USP45M"
bundlePistolCaseM45,"Hộp súng lục M45"
bundlePistolCaseUCP,"Hộp súng lục UCP"
bundlePistolCaseFS,"Hộp súng lục five7"
bundlePistolCaseDE,"Hộp súng lục Desert Eagle"
bundlePistolCaseRSH,"Hộp súng lục RSH"
bundlePistolCaseGroupDesc,"Hộp súng lục chứa các loại súng lục ngẫu nhiên và đạn dược tương ứng của chúng."

Gunppsh41SkillMagazine,"Tạp chí ppsh41"
Gunppsh41SkillMagazineDesc,"Chế tạo ppsh41\nCải thiện kỹ năng chế tạo vũ khí ppsh41"
craftinggunppsh41,"PPSH41"
craftinggunppsh41Name,"ppsh41"
craftinggunppsh41Desc,"Đọc [DECEA3]PPSH41[-] cho phép bạn chế tạo PPSH."
craftinggunppsh41LongDesc,"Mô tả chi tiết"

Gunpp9klinSkillMagazine,"Tạp chí pp9 klin"
Gunpp9klinSkillMagazineDesc,"Chế tạo pp9 klin\nCải thiện kỹ năng chế tạo vũ khí pp9 klin"
craftinggunpp9klin,"pp9 klin"
craftinggunpp9klinName,"pp9 klin"
craftinggunpp9klinDesc,"Đọc [DECEA3]pp9 klin[-] cho phép bạn chế tạo pp9 klin."
craftinggunpp9klinLongDesc,"Mô tả chi tiết"

Gunmp5kSkillMagazine,"Tạp chí mp5k"
Gunmp5kSkillMagazineDesc,"Chế tạo mp5k\nCải thiện kỹ năng chế tạo vũ khí mp5k"
craftinggunmp5k,"mp5k"
craftinggunmp5kName,"mp5k"
craftinggunmp5kDesc,"Đọc [DECEA3]mp5k[-] cho phép bạn chế tạo mp5k."
craftinggunmp5kLongDesc,"Mô tả chi tiết"

Gunmp5SkillMagazine,"Tạp chí mp5"
Gunmp5SkillMagazineDesc,"Chế tạo mp5\nCải thiện kỹ năng chế tạo vũ khí mp5"
craftinggunmp5,"mp5"
craftinggunmp5Name,"mp5"
craftinggunmp5Desc,"Đọc [DECEA3]mp5[-] cho phép bạn chế tạo mp5."
craftinggunmp5LongDesc,"Mô tả chi tiết"

GunuziSkillMagazine,"Tạp chí uzi"
GunuziSkillMagazineDesc,"Chế tạo uzi\nCải thiện kỹ năng chế tạo vũ khí uzi"
craftinggunuzi,"uzi"
craftinggunuziName,"uzi"
craftinggunuziDesc,"Đọc [DECEA3]uzi[-] cho phép bạn chế tạo uzi."
craftinggunuziLongDesc,"Mô tả chi tiết"

Gunpp19vityazSkillMagazine,"Tạp chí pp19 Vityaz"
Gunpp19vityazSkillMagazineDesc,"Chế tạo pp19 Vityaz\nCải thiện kỹ năng chế tạo vũ khí pp19 Vityaz"
craftinggunpp19vityaz,"pp19 Vityaz"
craftinggunpp19vityazName,"pp19 Vityaz"
craftinggunpp19vityazDesc,"Đọc [DECEA3]pp19 Vityaz[-] cho phép bạn chế tạo pp19 Vityaz."
craftinggunpp19vityazLongDesc,"Mô tả chi tiết"

Gunmp9SkillMagazine,"Tạp chí mp9"
Gunmp9SkillMagazineDesc,"Chế tạo mp9\nCải thiện kỹ năng chế tạo vũ khí mp9"
craftinggunmp9,"mp9"
craftinggunmp9Name,"mp9"
craftinggunmp9Desc,"Đọc [DECEA3]mp9[-] cho phép bạn chế tạo mp9."
craftinggunmp9LongDesc,"Mô tả chi tiết"

GunuziprosmgSkillMagazine,"Tạp chí uzi pro smg"
GunuziprosmgSkillMagazineDesc,"Chế tạo uzi pro smg\nCải thiện kỹ năng chế tạo vũ khí uzi pro smg"
craftinggunuziprosmg,"uzi pro smg"
craftinggunuziprosmgName,"uzi pro smg"
craftinggunuziprosmgDesc,"Đọc [DECEA3]uzi pro smg[-] cho phép bạn chế tạo uzi pro smg."
craftinggunuziprosmgLongDesc,"Mô tả chi tiết"

Gunmp5sdSkillMagazine,"Tạp chí mp5 sd"
Gunmp5sdSkillMagazineDesc,"Chế tạo mp5 sd\nCải thiện kỹ năng chế tạo vũ khí mp5 sd"
craftinggunmp5sd,"mp5 sd"
craftinggunmp5sdName,"mp5 sd"
craftinggunmp5sdDesc,"Đọc [DECEA3]mp5 sd[-] cho phép bạn chế tạo mp5 sd."
