gunBotRoboticsParts,items,Gun,,,Robotics Parts,,Robotikteile,Partes de robótica,Pièces de robotique,Parti robotiche,ロボットパーツ,로보틱 터렛 부품,Robotyczne części,Peças de Robótica,Части роботизированной пушки,Robot Parçaları,机器人零件,機器人零件
gunHandgunT0PipePistolDesc,items,Gun,,,A home-made pistol firing 9mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Eine selbstgebaute Pistole, die mit 9-mm-Munition schießt.\n\nKann mit einem kurzem Eisenrohr repariert werden.\nKann zu Eisen zerlegt werden.",Un revólver casero que dispara municiones de 9 mm.\n\nSe repara con una tubería de hierro corta.\nDesguázalo para obtener hierro.,Un pistolet fait maison tirant des munitions de calibre 9 mm.\n\nPeut être réparé avec un petit tuyau en fer.\nSe recycle en fer.,Una pistola artigianale che spara munizioni da 9 mm.\n\nSi ripara con il tubo di ferro corto.\nLa rottamazione produce ferro.,9mmの弾丸を発射する手作りのピストル。\n\n鉄パイプ（ショート）で修理します。\n解体すると鉄に。,집에서 제작한 9mm 구경 피스톨입니다.\n\n짧은 철관으로 수리할 수 있습니다.\n철로 분해됩니다.,"Domowej roboty pistolet strzelający amunicją kalibru 9 mm.\n\nNaprawiaj za pomocą krótkiej żelaznej rury.\nZezłomuj, by uzyskać żelazo.",Pistola caseira que dispara munição de 9 mm.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro.,Самодельный пистолет под патроны 9 мм.\n\nРемонтируется с помощью короткой железной трубы.\nРазбирается на железо.,9 mm mühimmat kullanan ev yapımı tabanca.\n\nKısa Demir Boru ile onarılır.\nHurdaya çıkardığında Demir elde edersin.,发射9毫米弹药的自制手枪。\n\n可使用短铁管修理。\n可分解为铁。,發射 9mm 彈藥的自製手槍。\n\n用短鐵管修理。\n報廢為鐵。
gunHandgunT1Pistol,items,Gun,,,Pistol,,Pistole,PIstola,Pistolet,Pistola,ピストル,피스톨,Pistolet,Pistola,Пистолет,Tabanca,手枪,手槍
gunHandgunT1PistolDesc,items,Gun,,,A basic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Eine einfache Pistole, die 9-mm-Munition verschießt.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Handfeuerwaffenteilen zerlegt werden.",Una pistola básica que utiliza munición de 9 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de pistola.,Un pistolet basique qui utilise des munitions de calibre 9 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arme de poing.,Una semplice pistola che usa munizioni da 9 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per pistola.,9mm弾を使用するベーシックなピストル。\n\n修理キットで修理可能。\n解体するとハンドガンパーツに。,기본 피스톨은 9mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n권총 부품으로 분해됩니다.,Podstawowy pistolet kalibru 9 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części broni krótkiej.,Uma pistola básica que usa munição de 9 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arma curta.,"Стандартный пистолет, использующий патроны калибра 9 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части пистолета.",9 mm mühimmat kullanan basit bir tabanca.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Tabanca Parçaları elde et.,一把基础手枪，使用9毫米弹药。\n\n可使用维修工具修理。\n可分解为手枪零件。,一款基礎的手槍使用的是 9 毫米的子彈。\n\n使用維修工具包維修。\n手槍部件報廢。
gunHandgunT1PistolParts,items,Gun,,,Handgun Parts,,Handfeuerwaffenteile,Partes de pistola,Pièces d'arme de poing,Parti per pistola,ハンドガンパーツ,권총 부품,Części broni krótkiej,Peças de arma curta,Части пистолета,Tabanca Parçaları,手枪零件,手槍部件
gunHandgunT1PistolSchematic,items,Gun,,,Pistol Schematic,,Bauplan – Pistole,Esquema de pistola,Schéma de pistolet,Schema della pistola,設計図「ピストル」,피스톨 도면,Pistolet — schemat,Diagrama de Pistola,Схема пистолета,Tabanca Şeması,手枪设计图,手槍原理圖
gunHandgunT2Magnum44,items,Gun,,,.44 Magnum,,.44 Magnum,Magnum 44,.44 Magnum,.44 Magnum,.44マグナム,.44 매그넘,Magnum .44,.44 Magnum,Револьвер .44 Magnum,.44 Magnum,.44马格南,.44 馬格南手槍
gunHandgunT2Magnum44Desc,items,Gun,,,The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Der .44 Magnum ist der König aller Handfeuerwaffen. Er verursacht am meisten Schaden, ist aber auch am lautesten. Schwinge dieses Baby und mach Clint stolz.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Handfeuerwaffenteilen zerlegt werden.","La Magnum 44 es la reina de las pistolas. Es la más poderosa, pero también la más ruidosa. Blande esta pistola y haz que Clint se sienta orgulloso.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de pistola.","Le .44 Magnum est le roi des armes de poing. C'est le pistolet le plus puissant, mais aussi le plus bruyant. Maniez ce garnement et rendez Clint fier.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arme de poing.","La .44 Magnum è la regina delle pistole. È la più potente, ma anche la più rumorosa. Impugna questa bellezza e rendi il buon vecchio Clint Eastwood fiero di te.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per pistola.",.44マグナムはハンドガンの王様です。最も強力で発砲音も最大です。この銃を装備してクリントイーストウッドのように颯爽と振舞いましょう。\n\n修理キットで修理可能。\n解体するとハンドガンパーツに。,.44 매그넘은 권총의 왕과 같습니다. 가장 강력하면서도 소음도 가장 크죠. 이 멋진 무기를 차고 클린트를 자랑스럽게 만드세요.\n\n수리 키트로 수리할 수 있습니다.\n권총 부품으로 분해됩니다.,"Magnum .44 to król broni krótkiej. Jego moc jest niezrównana, ale jest wyjątkowo hałaśliwy. Pamiętaj, że Clint jest dumny z każdego strzału.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części broni krótkiej.",O .44 Magnum é o rei das armas curtas. É a mais poderosa e também a mais barulhenta. Empunhe esse rapazote e deixe Clint orgulhoso.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arma curta.,"Револьвер .44 Magnum – король в своем классе. Он самый убойный, но и самый шумный. Заполучи этого красавца, пусть Клинт гордится тобой.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части пистолета.",".44 Magnum, tabancaların kralıdır. En kuvvetli tabanca budur ancak en çok gürültüyü de bu çıkarır. Bu yaramaz çocuğu kullanırsan Clint seninle gurur duyar.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Tabanca Parçaları elde et.",.44马格南是手枪之王。火力十分强劲，但噪音也特别大。拿起这把好家伙，让克林特骄傲吧。\n\n可使用维修工具修理。\n可分解为手枪零件。,.44 口徑馬格南手槍堪稱手槍之王。它是世界上威力最大的手槍，但發射時發出的聲音也最大。秀出你的馬格南槍，讓克林特爲你驕傲吧。\n\n使用維修工具包維修。\n手槍部件報廢。
gunHandgunT2Magnum44Schematic,items,Gun,,,.44 Magnum Schematic,,Bauplan – .44 Magnum,Esquema de Magnum 0.44,Schéma de .44 Magnum,Schema della .44 Magnum,設計図「.44マグナム」,.44 매그넘 도면,Magnum .44 — schemat,Diagrama de .44 Magnum,Схема револьвера .44 Magnum,.44 Magnum Şeması,.44马格南设计图,.44 馬格南手槍原理圖
gunHandgunT3DesertVulture,items,Gun,,,.44 Desert Vulture,,.44 Desert Vulture,Desert Vulture de calibre 44,.44 Desert Vulture,.44 Avvoltoio del deserto,.44 デザートヴァルチャー,44구경 데저트 벌쳐,.44 Desert Vulture,Desert Vulture calibre 44,«Пустынный стервятник» калибра .44,.44 Desert Vulture,.44 口径沙漠秃鹰,.44荒漠禿鷹
gunHandgunT3DesertVultureDesc,items,Gun,,,This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,Diese schwere Pistole verwendet .44-Magnum-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Handfeuerwaffenteilen zerlegt werden.,Esta pistola pesada usa munición de Magnum de calibre 44.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de pistola,Ce pistolet lourd utilise des munitions de .44 Magnum.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arme de poing.,Questa pistola pesante usa munizioni per .44 Magnum.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per pistola.,この重拳銃は、.44マグナム弾を使用しています。\n\n修理キットで修理可能。\n解体するとハンドガンパーツに。,44 구경 매그넘 탄을 쓰는 대형 권총입니다.\n\n수리 키트로 수리할 수 있습니다.\n권총 부품으로 분해됩니다.,Ten ciężki pistolet korzysta z amunicja Magnum .44.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części broni krótkiej.,Esta pistola pesada usa munição Magnum 44.\n\nRepare com um kit de reparos.\nRecicle para obter peças de arma curta.,Этот тяжелый пистолет использует патроны «.44 Magnum».\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части пистолета.,Bu ağır tabanca .44 Magnum mermisi kullanır.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Tabanca Parçaları elde edersin.,这把重型手枪使用.44 口径的弹药。\n\n可使用维修工具修理。\n可分解为手枪零件。,這把重型手槍使用的是.44馬格南彈藥。\n\n使用維修工具包維修。\n報廢手槍零件。
gunHandgunT3DesertVultureSchematic,items,Gun,,,Desert Vulture Schematic,,Bauplan – Desert Vulture,Esquema de Desert Vulture,Schéma de Desert Vulture,Schema dell'avvoltoio del deserto,設計図「デザートヴァルチャー」,데저트 벌쳐 도면,Desert Vulture — schemat,Diagrama de Desert Vulture,Схема «Пустынного стервятника»,Desert Vulture Şeması,沙漠秃鹰设计图,荒漠禿鷹原理圖
gunHandgunT3SMG5,items,Gun,,,SMG-5,,MP-5,SMG-5,SMG-5,SMG-5,SMG-5,SMG-5,SMG-5,SMG -5,ПП-5,SMG-5,SMG-5,衝鋒槍-5
gunHandgunT3SMG5Desc,items,Gun,,,This submachine gun uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,Diese Maschinenpistole verwendet 9-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Handfeuerwaffenteilen zerlegt werden.,Esta metralleta utiliza munición de 9 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de pistola.,Cette mitraillette utilise des munitions de calibre 9 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces d'arme de poing.,Questo mitra usa munizioni da 9 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per pistola.,9mm弾を使用するサブマシンガンです。\n\n修理キットで修理可能。\n解体するとハンドガンパーツに。,이 경기관총은 9mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n권총 부품으로 분해됩니다.,Podstawowy pistolet maszynowy kalibru 9 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części broni krótkiej.,Uma submetralhadora que usa munição de 9 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arma curta.,Этот пистолет-пулемет использует патроны калибра 9 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части пистолета.,9 mm mühimmat kullanan hafif makineli silah.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Tabanca Parçaları elde et.,这把冲锋枪使用9毫米弹药。\n\n可使用维修工具修理。\n可分解为手枪零件。,這把衝鋒槍使用的是 9 毫米的子彈。\n\n使用維修工具包維修。\n手槍部件報廢。
gunHandgunT3SMG5Schematic,items,Gun,,,SMG-5 Schematic,,Bauplan – MP-5,Esquema de SMG-5,Schéma de SMG-5,Schema del SMG-5,設計図「SMG-5 」,SMG-5 도면,SMG-5 — schemat,Diagrama de SMG -5,Схема пистолета-пулемета,SMG-5 Şeması,SMG-5设计图,衝鋒槍-5 原理圖
gunMGT0PipeMachineGun,items,Gun,,,Pipe Machine Gun,,Selbstgebautes Maschinengewehr,Metralleta de tubería,Mitrailleuse en tuyau,Mitragliatrice tubolare,パイプマシンガン,파이프 기관총,Rurowy karabin maszynowy,Metralhadora de cano,Автомат из трубы,Boru Makineli Tüfek,铁管机枪,鐵管機槍
gunMGT0PipeMachineGunDesc,items,Gun,,,A home-made automatic weapon firing 7.62mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Eine selbstgebaute Waffe, die mit 7,62-mm-Munition schießt.\n\nKann mit einem kurzem Eisenrohr repariert werden.\nKann zu Eisen zerlegt werden.",Un arma automática casera que dispara municiones de 7.62 mm.\n\nSe repara con una tubería de hierro corta.\nDesguázala para obtener hierro.,"Une arme automatique faite maison tirant des munitions de calibre 7,62 mm.\n\nPeut être réparée avec un petit tuyau en fer.\nSe recycle en fer.","Un'arma automatica artigianale che spara munizioni da 7,62 mm.\n\nSi ripara con il tubo di ferro corto.\nLa rottamazione produce ferro.",7.62mmの弾丸を発射する手作りのマシンガン。\n\n鉄パイプ（ショート）で修理します。\n解体すると鉄に。,집에서 제작한 7.62mm 구경 자동 화기입니다.\n\n짧은 철관으로 수리할 수 있습니다.\n철로 분해됩니다.,"Domowej roboty broń automatyczna strzelająca amunicją kalibru 7,62 mm.\n\nNaprawiaj za pomocą krótkiej żelaznej rury\nZezłomuj, by uzyskać żelazo.",Arma automática caseira que dispara munição 7.62 mm.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro.,"Самодельное автоматическое оружие под патроны 7,62 мм.\n\nРемонтируется с помощью короткой железной трубы.\nРазбирается на железо.",7.62 mm mühimmat kullanan ev yapımı otomatik silah.\n\nKısa Demir Boru ile onarılır.\nHurdaya çıkardığında Demir elde edersin.,发射7.62毫米弹药的自制自动武器。\n\n可使用短铁管修理。\n可分解为铁。,發射 7.62mm 彈藥的自製自動武器。\n\n用短鐵管修理。\n報廢為鐵。
gunMGT1AK47,items,Gun,,,AK-47 Machine Gun,,AK-47-Maschinengewehr,Metralleta AK-47,Mitrailleuse AK-47,Mitragliatrice AK-47,AK-47マシンガン,AK-47 기관총,Karabin maszynowy AK-47,Metralhadora AK-47,Автомат АК-47,AK-47 Makineli Tüfek,AK-47机枪,AK-47 機槍
gunMGT1AK47Desc,items,Gun,,,This badass AK-47 Machine Gun uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Dieses krasse AK-47-Maschinengewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Esta fantástica metralleta AK-47 utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Cette mitrailleuse AK-47 qui déchire utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","L'AK-47 è una cazzutissima mitragliatrice che usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",このいかにもワルそうなAK-47マシンガンには7.62mm弾を使用します。\n\n修理キットで修理可能。\n解体するとマシンガンパーツに。,이 끝내주는 AK-47 기관총은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Kozacki karabin maszynowy AK-47 kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Esta metralhadora AK-47 usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Этот чумовой автомат использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu tehlikeli AK-47 Makineli Tüfekte 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款炫酷的AK-47机枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這把牛逼的AK-47機槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。
gunMGT1AK47Parts,items,Gun,,,Machine Gun Parts,,Maschinengewehrteile,Partes de metralleta,Pièces de mitrailleuse,Parti per mitragliatrice,マシンガンパーツ,기관총 부품,Części karabinu maszynowego,Peças de metralhadora,Части автоматического оружия,Makineli Tüfek Parçaları,机枪零件,機槍部件
gunMGT1AK47Schematic,items,Gun,,,AK-47  Machine Gun Schematic,,Bauplan – AK-47-Maschinengewehr,Esquema de metralleta AK-47,Schéma de mitrailleuse AK-47,Schema della mitragliatrice AK-47,設計図「AK-47マシンガン」,AK-47 기관총 도면,Karabin maszynowy AK-47 — schemat,Diagrama de Metralhadora AK-47,Схема автомата АК-47,AK-47 Makineli Tüfek Şeması,AK-47机枪设计图,AK-47 機槍原理圖
gunMGT2TacticalAR,items,Gun,,,Tactical Assault Rifle,,Taktisches Sturmgewehr,Rifle de asalto táctico,Fusil d'assaut tactique,Fucile d'assalto tattico,タクティカルアサルトライフル,전술용 돌격 라이플,Taktyczny karabin automatyczny,Rifle de Assalto Tático,Тактическая штурмовая винтовка,Taktik Saldırı Tüfeği,战术突击步枪,戰術突擊步槍
gunMGT2TacticalARDesc,items,Gun,,,This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Dieses taktische Sturmgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Este rifle de asalto táctico munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Ce fusil d'assaut tactique utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Questo fucile d'assalto tattico usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n修理キットで修理可能。\n解体するとマシンガンパーツに。,이 전술용 돌격 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Bu Taktik Saldırı Tüfeğinde 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",这款战术突击步枪使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,這個戰術突擊步槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。
gunMGT2TacticalARSchematic,items,Gun,,,Tactical Assault Rifle Schematic,,Bauplan – Taktisches Sturmgewehr,Esquema de rifle de asalto táctico,Schéma de fusil d'assaut tactique,Schema del fucile d'assalto tattico,設計図「タクティカルアサルトライフル」,전술용 돌격 라이플 도면,Taktyczny karabin automatyczny — schemat,Diagrama de Rifle de Assalto Tático,Схема тактической штурмовой винтовки,Taktik Saldırı Tüfeği Şeması,战术突击步枪设计图,戰術突擊步槍原理圖
gunMGT3M60,items,Gun,,,M60 Machine Gun,,M60-Maschinengewehr,Metralleta M60,Mitrailleuse M60,Mitragliatrice M60,M60マシンガン,M60 기관총,Karabin maszynowy M60,Metralhadora M60,Пулемет М60,M60 Makineli Tüfek,M60机枪,M60 機槍
gunMGT3M60Desc,items,Gun,,,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Maschinengewehre sind etwas unhandlich, zeichnen sich aber durch hervorragendes automatisches Feuer aus. Dieses verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Maschinengewehrteilen zerlegt werden.","Las metralletas son un poco incómodas de usar pero son estupendas para el disparo automático. Esta utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de metralleta.","Les mitrailleuses sont assez encombrantes à utiliser, mais elles sont les reines du tir automatique. Elle utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de mitrailleuse.","Le mitragliatrici sono piuttosto ingombranti da usare ma spaccano in fatto di fuoco automatico. Questa qui usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per mitragliatrice.",マシンガンはやや取り回しに苦労しますが、自動連射にとても優れています。これには7.62mm弾を使用します。\n\n修理キットで修理可能。\n解体するとマシンガンパーツに。,"기관총은 다소 다루기가 어렵지만, 자동 발사 성능이 뛰어납니다. 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.","Karabiny maszynowe są nieporęczne, ale wystrzeliwują grad pocisków. Kaliber 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu maszynowego.","As metralhadoras são um pouco complicadas de usar, mas se destacam pelo disparo automático. Usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora.","Пулеметы несколько громоздки, но идеальны для автоматической стрельбы. Этот использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части автоматического оружия.","Makineli tüfekleri kullanması biraz zahmetlidir ancak otomatik atışlarda bunların üzerine tanınmaz. Bu silahta 7,62 mm mühimmat kullanılır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Makineli Tüfek Parçaları elde et.",机枪使用起来可能有些笨重，但在自动射击方面表现优越。使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为机枪零件。,機關槍使用起來有些麻煩，但自動射擊十分出色。這把槍使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n機槍部件報廢。
gunMGT3M60Schematic,items,Gun,,,M60 Machine Gun Schematic,,Bauplan – M60-Maschinengewehr,Esquema de metralleta M60,Schéma de mitrailleuse M60,Schema della mitragliatrice M60,設計図「M60マシンガン」,M60 머신건 도면,Karabin maszynowy M60 — schemat,Diagrama de Metralhadora M60,Схема пулемета М60,M60 Makineli Tüfek Şeması,M60 机枪设计图,M60機關槍原理圖
gunPartsGroupDesc,items,Gun,,,"Scrap advanced armor, tools and weapons to acquire these items. Use them to craft new items.",,"Zerlege fortgeschrittene Waffen und Werkzeuge, um diese Gegenstände zu erhalten. Verwende sie, um neue Gegenstände zu fertigen.","Desguaza armaduras, herramientas y armas avanzadas para obtener estos objetos. Úsalos para fabricar nuevos objetos.","Recyclez des armures, des armes et des outils avancés pour acquérir ces objets. Utilisez-les pour fabriquer de nouveaux objets.","Rottama armature, armi e attrezzi avanzati per acquisire questi oggetti. Usali per creare nuovi oggetti.",これらのアイテムを入手するには高度なアーマー、ツール、武器の解体が必要です。新しいアイテムをクラフトするのに使用します。,고급 무기와 도구를 분해해 이러한 아이템을 획득할 수 있습니다. 새로운 아이템을 제작할 때 사용하세요.,"Złomuj zaawansowaną broń i narzędzia, aby pozyskać przedmioty, z których później wytworzysz nowe wyposażenie.","Recicle armaduras avançadas, ferramentas e armas para obter esses itens. Use para fabricar novos itens.","Разбирайте продвинутую броню, инструменты и оружие, чтобы получить эти предметы. Используйте их для изготовления новых предметов.","Bu öğeleri almak için gelişmiş zırhı, aletleri ve silahları hurdaya çıkar. Yeni öğeler üretmek için bunları kullanabilirsin.",分解高级护甲、武器和工具，即可获得这些物品。使用这些物品可以制作全新道具。,報廢高級護甲、武器和工具可獲得這些物品。使用它們來製作新的物品。
gunRifleT0PipeRifle,items,Gun,,,Pipe Rifle,,Selbstgebautes Gewehr,Rifle de tubería,Fusil en tuyau,Carabina tubolare,パイプライフル,파이프 라이플,Karabin rurowy,Fuzil de cano,Винтовка из трубы,Boru Tüfek,铁管步枪,鐵管步槍
gunRifleT0PipeRifleDesc,items,Gun,,,A home-made rifle firing 7.62mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Ein selbstgebautes Gewehr, das mit 7,62-mm-Munition schießt.\n\nKann mit einem kurzem Eisenrohr repariert werden.\nKann zu Eisen zerlegt werden.",Un rifle casero que dispara municiones de 7.62 mm.\n\nSe repara con una tubería de hierro corta.\nDesguázala para obtener hierro.,"Un fusil fait maison tirant des munitions de calibre 7,62 mm.\n\nPeut être réparé avec un petit tuyau en fer.\nSe recycle en fer.","Una carabina automatica artigianale che spara munizioni da 7,62 mm.\n\nSi ripara con il tubo di ferro corto.\nLa rottamazione produce ferro.",7.62mmの弾丸を発射する手作りのライフル。\n\n鉄パイプ（ショート）で修理します。\n解体すると鉄に。,집에서 제작한 7.62mm 구경 라이플입니다.\n\n짧은 철관으로 수리할 수 있습니다.\n철로 분해됩니다.,"Domowej roboty karabin strzelający amunicją kalibru 7,62 mm.\n\nNaprawiaj za pomocą krótkiej żelaznej rury.\nZezłomuj, by uzyskać żelazo.",Fuzil caseiro que dispara munição 7.62 mm.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro.,"Самодельная винтовка под патроны 7,62 мм.\n\nРемонтируется с помощью короткой железной трубы.\nРазбирается на железо.",7.62 mm mühimmat kullanan ev yapımı tüfek.\n\nKısa Demir Boru ile onarılır.\nHurdaya çıkardığında Demir elde edersin.,发射7.62毫米弹药的自制步枪。\n\n可使用短铁管修理。\n可分解为铁。,發射 7.62mm 彈藥的自製步槍。\n\n用短鐵管修理。\n報廢為鐵。
gunRifleT1HuntingRifle,items,Gun,,,Hunting Rifle,,Jagdgewehr,Rifle de caza,Fusil de chasse,Fucile da caccia,狩猟ライフル,사냥용 라이플,Sztucer,Rifle de caça,Охотничье ружье,Av Tüfeği,猎枪,狩獵步槍
