perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkMachineGunnerRank5Desc,progression,perk For,,,Machine Gunner,,Maschinengewehrschütze,Ametrallador,Mitrailleur,Mitragliatore,マシンガンナー,기관총 사수,Mistrz karabinu maszynowego,Metralhador,Пулеметчик,Makineli Tüfek Ustası,机枪射手,機槍手
perkMachineGunnerRank5LongDesc,progression,perk For,,,"You are now the ultimate machine gunner. Machine guns deal 50% more damage, 25% faster fire rate and reload 30% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 6 stamina.\nFind more machine guns, parts, and 7.62mm ammo in loot.",,"Du bist der ultimative Maschinengewehrschütze. Maschinengewehre verursachen 50 % mehr Schaden, feuern 25 % schneller und laden 30 % schneller nach. Kommando-Adrenalin: Jeder mit einer automatischen Waffe erzielte Treffer gewährt dir 6 Ausdauer.\nFinde mehr Maschinengewehre, Teile und 7,62-mm-Munition in der Beute.","Ahora eres lo máximo con las ametralladoras. Las ametralladoras tienen un 50 % más de daño, un 25 % más de velocidad de disparo y un 30 % más de velocidad de recarga. Comando Adrenalina: cada tiro disparado con armas automáticas te otorga 6 de resistencia.\nEncuentra más ametralladoras, partes y municiones de 7,62 mm en los botines.","Personne ne vous arrive à la cheville avec une mitrailleuse. Vous infligez 50 % de dégâts supplémentaires, tirez 25 % plus vite, et rechargez 30 % plus rapidement avec les mitrailleuses. Adrénaline militaire : chaque tir réussi avec une arme automatique vous rend 6 points d'endurance.\nVous trouvez plus de mitrailleuses, de pièces et de munitions de cal. 7,62 mm dans les butins.","Ora sei il mitragliere definitivo. Le mitragliatrici infliggono il 50% di danni in più, la cadenza di fuoco è più veloce del 25% e ricarichi più velocemente del 30%. Adrenalina da commando: ogni colpo messo a punto con armi automatiche ti conferisce 6 vigore.\nTrovi più mitragliatrici, parti e munizioni da 7,62 mm nel bottino.",あなたは究極のマシンガンナーになりました。マシンガン使用時、ダメージ量が50%、連射速度が25%、リロード速度が30%上昇。部隊員のアドレナリン：マシンガンでヒットさせるたびに、スタミナが6回復します。\nマシンガン、マシンガンパーツ、7.62mm弾発見率上昇。,"당신은 이제 최강의 기관총 사수입니다. 기관총이 50% 추가 대미지를 가하고, 발사 속도 25%, 재장전 속도가 30% 증가합니다. 특공대원 아드레날린: 자동 무기를 이용해 적을 맞출 때마다 6 스태미너를 획득합니다.\n약탈품에서 기관총, 부품, 7.62mm 탄약을 찾아보세요.","Nie da się lepiej strzelać z karabinu maszynowego. Podczas walki karabinem maszynowym zadajesz 50% więcej obrażeń, strzelasz 25% częściej i przeładowujesz 30% szybciej. Adrenalina komandosa: Każde trafienie bronią automatyczną przywraca ci 6 punktów wytrzymałości.\nZnajduj więcej karabinów maszynowych, części i amunicji kal. 7,62 mm w łupach.","Agora você é um metralhador supremo. Metralhadoras causam 50% mais dano, têm cadência de tiro 25% mais rápida e recarregam 30% mais rápido. Adrenalina de fuzileiro: cada acerto com armas automáticas concede 6 de vigor.\nAche mais metralhadoras, peças e munição 7,62 mm em espólios.","Вы стали идеальным пулеметчиком. Пулеметы наносят на 50% больше урона, скорость их стрельбы выше на 25%, а перезарядка быстрее на 30%. Адреналин спецназовца: с каждым удачным выстрелом из автоматического оружия вы получаете 6 очков выносливости.\nПулеметы, их части и патроны 7,62 мм чаще встречаются в добыче.","Artık makineli tüfek kullanmada senden iyisi yok. Makineli tüfekler %50 daha fazla hasar verir, %25 daha hızlı ateş eder ve %30 daha hızlı doldurulur. Komando Adrenalini: Otomatik silahlarla isabet eden her vuruş 6 dayanıklılık verir.\nGanimetlerde daha fazla makineli tüfek, parça ve 7.62 mm mühimmat bul.",你现在是终极机枪手了。机枪造成的伤害增加50%，射速加快25%，装弹速度加快30%。突击队肾上腺素：每次用自动武器击中敌人都会获得6体力。\n搜刮时找到更多机枪、零件和7.62毫米弹药。,你現在是一名終極機槍手。機關槍增加 50% 傷害值、25% 射速、30% 裝彈速度。突擊隊員腎上腺素：使用自動武器每射中一槍獲得 6 點耐力。\n在戰利品中找到更多機關槍、其部件、7.62 毫米彈藥。
perkPainToleranceDesc,progression,perk For,,,"Specialize in shrugging off blows, fighting through pain and staying in the fight when others would be down for the count. ",,"Spezialisiere dich darauf, deinen Schmerz zu ignorieren und kontrolliert weiterzukämpfen, wenn andere das Handtuch werfen würden. ","Especialízate en encogerte de hombros ante los golpes, luchar contra el dolor y permanecer en la pelea cuando los demás no valgan para nada. ","Apprenez à ignorer les coups, à vous battre malgré la douleur, et à rester dans la bataille quand d'autres seraient déjà tombés depuis longtemps. ","Specializzati nel superare i colpi, combattendo il dolore e continuando a combattere quando gli altri sarebbero fuori gioco. ",攻撃を食らっても何ともない顔をして、痛みに耐え、他の人が倒れても戦い続けられる能力に特化しましょう。,"공격받는 걸 무시하고, 고통과 싸워 다른 사람들이 바닥에서 카운트를 셀 때도 싸움을 계속할 수 있는 일에 특화되었습니다. ","Wyspecjalizuj się w zachowywaniu trzeźwości umysłu, tolerancji na ból i zdolności do działania nawet po otrzymaniu powalających ciosów. ","Especialize-se em aguentar os golpes, resistir a dor e continuar na briga enquanto outros já teriam sido nocauteados. ","Научитесь стойко терпеть удары и боль. Вы будете продолжать драться в ситуациях, где сам Майк Тайсон запросил бы пощады! ","Başkalarının bozguna uğrayacağı durumlarda darbelerden kaçınma, acıyla baş etme ve dövüşe devam etme konusunda uzmanlaş. ",专精于忍受打击，在痛苦中战斗，在其他人纷纷倒下之后继续战斗。,擅長擺脫打擊，與痛苦作鬥爭，在別人被徹底打敗時仍然堅持戰鬥。
perkPainToleranceName,progression,perk For,,,Pain Tolerance,,Schmerztoleranz,Tolerancia al dolor,Résistance à la douleur,Tolleranza al dolore,痛み耐性,고통 저항,Tolerancja na ból,Tolerância à Dor,Высокий болевой порог,Acı Toleransı,忍痛,忍痛度
perkPainToleranceRank1Desc,progression,perk For,,,Tough,,Hart,Duro,Costaud,Tosto,タフ,터프한,Twardziel,Durão,Крепыш,Sert,吃苦耐劳,堅強
perkPainToleranceRank1LongDesc,progression,perk For,,,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n20% less chance to get stunned.,,"Du hältst dich für einen harten Kerl, weil du keinen Kiefer als Glas mehr hast. Verringert die Menge verlorener GP um 5 %.\nVerringert die Chance betäubt zu werden um 20 %.",Te gusta pensar que eres duro porque ya no tienes mandíbula de cristal. Reduce las pérdidas de PS un 5 %.\n20 % menos de probabilidad de quedar aturdido.,Vous aimez vous dire que vous êtes costaud car vous n'avez plus de points faibles. Réduit la perte de PV de 5 %.\nRéduit de 20 % les chances d'être étourdi.,Ti piace pensare che sei un tipo tosto perché hai una mascella forte. Riduce la perdita dei PS del 5%.\n20% di possibilità in meno di venire stordito.,もう弱いアゴを持っていないからと言って、自分のことをタフだと思っているようです。被ダメージ量5%低減。\nスタン耐性20%上昇。,"더이상 유리같은 약한 턱을 가진 사람이 아니라서, 스스로를 터프하다고 생각합니다. HP 감소를 5% 줄입니다.\n기절할 확률이 20% 줄어듭니다.","Wydaje ci się, że zniesiesz wszystko, ale dopiero od wczoraj nie płaczesz od kuksańca w nos. Zmniejsz utratę PZ o 5%.\n20% mniejsza szansa ogłuszenia.",Você gosta de pensar que é durão porque não tem mais um queixo de vidro. Reduz em 5% a perda de PV.\n-20% de chance de sofrer atordoamento.,"Вы считаете себя крепышом, потому что челюсть у вас от удара больше не улетает. Потеря ОЖ меньше на 5%.\nСнижение шанса оглушения на 20%.",Çenen cam kadar kırılgan olmadığı için sert olduğunu düşünüyorsun. SP kaybını %5 azalt.\n%20 daha az sersemletilme şansı.,你喜欢自己变得吃苦耐劳，因为你的下巴没那么脆弱了。受到的伤害减少5%。\n被击晕的概率降低20%。,你自認爲很堅強，因爲你不再不堪一擊。減少 5% 的生命值損失。\n減少 20% 的被擊暈率。
perkPainToleranceRank2Desc,progression,perk For,,,Rugged,,Rau,Curtido,Robuste,Robusto,頑丈,다부진,Krępy,Robusto,Бывалый,Kaba,体格粗犷,頑強
perkPainToleranceRank2LongDesc,progression,perk For,,,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n40% less chance to get stunned.,,"Als rauer Typ sind gebrochene Knochen und Schnittwunden das, wofür du lebst. Verringert die Menge verlorener GP um 10 %.\nVerringert die Chance betäubt zu werden um 40 %.",Los huesos rotos y los cortes son la vida cuando uno está curtido. Reduce las pérdidas de PS un 10 %.\n40 % menos de probabilidad de quedar aturdido.,"Quand on est robuste, on a l'habitude des os cassés et des coupures. Réduit la perte de PV de 10 %.\nRéduit de 40 % les chances d'être étourdi.",Ossa rotte e tagli sono la quotidianità quando sei robusto. Riduce la perdita dei PS del 10%.\n40% di possibilità in meno di venire stordito.,ハードな人生を送っていると、骨折も擦り傷も日常茶飯事です。被ダメージ量10%低減。\nスタン耐性40%上昇。,"당신은 다부진 사람이라, 골절이나 베인 상처는 일상이군요. HP 감소를 10% 줄입니다.\n기절할 확률이 40% 줄어듭니다.",Połamane kości i rany cięte to dla ciebie codzienność. Zmniejsz utratę PZ o 10%.\n40% mniejsza szansa ogłuszenia.,Ossos quebrados e cortes fazem parte da vida dos robustos. Reduz em 10% a perda de PV.\n-40% de chance de sofrer atordoamento.,Сломанные кости или порезы? Бывает! Потеря ОЖ меньше на 10%.\nСнижение шанса оглушения на 40%.,Kaba olduğunda kırık kemikler ve kesikler vız gelir. SP kaybını %10 azalt.\n%40 daha az sersemletilme şansı.,只要身体结实，骨折和伤口都是小事。受到的伤害减少10%。\n被击晕的概率降低40%。,頑強的你骨折和受傷都是家常便飯。減少 10% 的生命值損失。\n減少 40% 的被擊暈率。
perkPainToleranceRank3Desc,progression,perk For,,,Durable,,Widerstandsfähig,Resistente,Solide,Resistente,丈夫,튼튼한,Wytrwały,Resistente,Стойкий,Sağlam,耐打,堅韌
perkPainToleranceRank3LongDesc,progression,perk For,,,"After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 60% less chance to get stunned.",,All die eingesteckte Prügel hat dich sehr widerstandsfähiger gemacht. Verringert die Menge verlorener GP um 15 %. Verringert die Chance betäubt zu werden um 60 %.,"Después de todos los golpes que has soportado, ahora eres muy resistente. Reduce las pérdidas de PS un 15 % y tienes un 60 % menos de probabilidad de quedar aturdido.","Après tous les coups que vous avez pris, vous êtes désormais solide. Réduit la perte de PV de 15 % et les chances d'être étourdi de 60 %.","Dopo tutti quei colpi bassi che hai sopportato, ora sei davvero resistente. Riduce la perdita dei PS del 15% e hai il 60% di possibilità in meno di venire stordito.",たくさん殴られて、かなり丈夫になりました。被ダメージ量15%低減。スタン耐性60%上昇。,"당신은 모든 공격을 이겨냈고, 이제 정말 튼튼한 사람이 되었습니다. HP 감소를 15% 줄입니다.기절할 확률이 60% 줄어듭니다.",Cięgi od życia utwardziły twoje ciało. Mniejsza o 15% utrata PZ i o 60% mniejsza szansa ogłuszenia.,"Depois de todas as porradas, você ficou muito resistente. Reduz em 15% a perda de PV e dá -60% de chance de sofrer atordoamento.",После всех пережитых неудач у вас прибавилось стойкости. Потеря ОЖ меньше на 15%. Снижение шанса оглушения на 60%.,"Onca dayağa dayandıktan sonra epey sağlamlaştın. SP kaybını %15, sersemletilme ihtimalini %60 azalt.",经历了那么多次毒打之后，你现在已经非常耐打了。受到的伤害减少15%，被击晕的概率降低60%。,你忍受了所有打擊，你現在非常堅韌。減少 15% 的生命值損失，減少 60% 的被擊暈率。
perkPainToleranceRank4Desc,progression,perk For,,,Masochist,,Masochist,Masoquista,Masochiste,Masochista,マゾ,마조히스트,Masochista,Masoquista,Мазохист,Mazoşist,受虐狂,受虐狂
perkPainToleranceRank4LongDesc,progression,perk For,,,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 80% less chance to get stunned.,,"Um dich zu besiegen, müssen noch ganz andere Geschütze aufgefahren werden. Verringert die Menge verlorener GP um 20 %. Verringert die Chance betäubt zu werden um 80 %.",Va a hacer falta mucho más que eso para derribarte. Reduce las pérdidas de PS un 20 % y tienes un 80 % menos de probabilidad de quedar aturdido.,Il va falloir beaucoup plus que cela pour vous abattre. Réduit la perte de PV de 20 % et les chances d'être étourdi de 80 %.,Ci vuole molto più di quello per metterti sotto. Riduce la perdita dei PS del 20% e hai il 80% di possibilità in meno di venire stordito.,あなたを倒すのには骨が折れます。被ダメージ量20%低減。スタン耐性80%上昇。,당신을 쓰러뜨리려면 훨씬 더 많이 때려야겠어요. HP 감소를 20% 줄입니다.기절할 확률이 80% 줄어듭니다.,Powstrzymanie cię wymaga zadania potwornych obrażeń. Mniejsza o 20% utrata PZ i o 80% mniejsza szansa ogłuszenia.,É preciso muito mais que isso para te derrubar. Reduz em 20% a perda de PV e dá -80% de chance de sofrer atordoamento.,Вас не так просто утихомирить. Потеря ОЖ меньше на 20%. Снижение шанса оглушения на 80%.,"Seni indirmek için çok daha fazlası gerekiyor. SP kaybını %20, sersemletilme ihtimalini %80 azalt.",一般的手段可没法打倒你了。受到的伤害减少20%，被击晕的概率降低80%。,這還遠不能將你打倒。減少 20% 的生命值損失，減少 80% 的被擊暈率。
perkPainToleranceRank5Desc,progression,perk For,,,Iron Chin,,Eisenkinn,Mentón de hierro,Mâchoire de fer,Mento di ferro,鉄のアゴ,철제 턱,Żelazny podbródek,Queixo de Ferro,Железный подбородок,Demir Çene,铁下巴,鐵下巴
perkPainToleranceRank5LongDesc,progression,perk For,,,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have no chance to get stunned.,,"Schmerz scheint dir zu gefallen, du hast jetzt ein Kinn aus Eisen. Verringert die Menge verlorener GP um 25 %. Du kannst nicht betäubt werden.",Parece que te gusta el dolor y ahora tienes un mentón de hierro. Reduce las pérdidas de PS un 25 % y no tienes probabilidades de quedar aturdido.,Vous semblez vous développer dans la douleur et possédez désormais une mâchoire de fer. Réduit la perte de PV de 25 %. Vous ne pouvez plus être étourdi.,Sembri vivere per il dolore e ora possiedi un mento di ferro. Riduce la perdita dei PS del 25% e non hai possibilità di venire stordito.,痛みによって成長し、鉄のアゴを手に入れたようです。被ダメージ量25%低減。絶対にスタンしない。,당신은 고통을 즐기고 이제는 턱이 철제로 되어있는 것처럼 보입니다. HP 감소를 25% 줄이고 기절하지 않습니다.,"Ból dodaje ci sił, a starcia z twoją szczęką wytrzyma wyłącznie najtwardsza broń. Mniejsza o 25% utrata PZ i pełna odporność na ogłuszenie.",Parece que você se dá bem com a dor e agora tem um queixo de ferro. Reduz em 25% a perda de PV e ignora o atordoamento.,"Похоже, вы расцветаете от боли, и теперь у вас железный подбородок. Потеря ОЖ меньше на 25%. Оглушение невозможно.","Çenen demir gibi, ağrı sana iyi geliyor. SP kaybını %25 azalt, sersemletilme ihtimalini ortadan kaldır.",你似乎很渴望痛感，现在你有了一副钢铁般的下巴。受到的伤害减少25%，你不会被击晕。,你似乎在痛苦中茁壯成長，現在擁有一個鐵下巴。減少 25% 的生命值損失，不會被擊暈。
perkRuleOneCardioDesc,progression,perk For,,,Train your body in the number one tactic against the zombie menace: Running away from them.,,"Übe dich in der besten Methode, mit der Zombieplage fertigzuwerden: dem Weglaufen.",Entrénate en la mejor táctica anti zombis: Huir de ellos.,Entraînez-vous à la meilleure stratégie à adopter contre la menace zombie : fuir.,Allena il tuo corpo nella tattica numero uno contro la minaccia zombie: Scappare da loro.,ゾンビの脅威に対する第一の戦術で、体を鍛えましょう。つまり、ゾンビから逃げることで。,좀비의 위협에 맞서 가장 좋은 전략으로 신체를 훈련합니다: 좀비에게서 도망가기.,"Ćwicz ciało, aby móc swobodnie korzystać z najlepszej taktyki przeciwko zombie: ucieczki!",Treine seu corpo para a melhor tática contra a ameaça zumbi: Fugir deles.,Тренируй главный тактический прием против зомби: бегство от них.,Vücudunu zombi tehdidine karşı en etkili yönteme hazırla: Kaçmak.,让你的身体学会对抗丧尸的最好战术：逃跑。,訓練你的身體是對抗殭屍的第一個戰術：逃離他們。
perkRuleOneCardioName,progression,perk For,,,Rule 1: Cardio,,Regel Nr. 1: Ausdauertraining,Regla 1: Cardio,Règle 1 : le cardio,Regola numero 1: Cardio,ルール1:有酸素運動,규칙 1: 심장 강화 운동,Zasada nr 1: kardio,Regra 1: Cardiorrespiratório,Правило 1: Кардиотренировка,1. Kural: Kardiyo,规则1：有氧运动,第 1 條：有氧運動
perkRuleOneCardioNameRank1Desc,progression,perk For,,,Hiker,,Wanderer,Senderista,Randonneur,Escursionista,ハイカー,도보 여행자,Spacerowicz,Andarilho,Пеший турист,Doğa Gezgini,远足者,徒步旅行者
perkRuleOneCardioNameRank1LongDesc,progression,perk For,,,Just put one foot in front of the other.\nIncrease stamina regen by 10% when sprinting.,,Setze einen Fuß vor den anderen.\nErhöht die Ausdauerwiederherstellung beim Sprinten um 10 %.,Solo tienes que poner un pie delante del otro.\nAumenta la regeneración de la resistencia en un 10 % al correr.,Vous savez mettre un pied devant l'autre.\nVous augmentez votre régénération d'endurance de 10 % lorsque vous sprintez.,Metti un piede davanti all'altro.\nAumenta la rigenerazione del vigore del 10% quando scatti.,2本の足を交互に前に出すだけ。\nダッシュ中スタミナ回復量10%増加。,한 발만 앞으로 내딛어 보세요.\n전력 질주 시 스태미너 재생성이 10% 증가합니다.,Po prostu idź przed siebie małymi kroczkami.\nZwiększ regenerację wytrzymałości o 10% podczas sprintu.,É só colocar um pé na frente do outro.\nAumenta em 10% a regeneração de vigor ao correr.,Просто переставляйте ноги.\nПовышает восстановление выносливости при беге на 10%.,Bir ayağını diğerinin önüne atabiliyorsun.\nDepar atarken dayanıklılık yenilemesini %10 artır.,只要把一只脚移到另一只脚前面就好了。\n冲刺时体力再生速度加快 10%。,一步一步，穩穩前進。\n衝刺時耐力恢復速度加快 10%。
perkRuleOneCardioNameRank2Desc,progression,perk For,,,Running Man,,Läufer,El hombre que corre,Coureur,Corridore,ランニングマン,달리기 선수,Uciekający człowiek,Corredor Experiente,Бегун,Koşucu,赛跑运动员,奔跑者
perkRuleOneCardioNameRank2LongDesc,progression,perk For,,,Leave your enemies in the rear view mirror.\nIncrease stamina regen by 20% when sprinting.,,Du lässt deine Gegner im Staub zurück.\nErhöht die Ausdauerwiederherstellung beim Sprinten um 20 %.,Deja a tus enemigos en el espejo retrovisor.\nAumenta la regeneración de la resistencia en un 20 % al correr.,Vous pouvez désormais regarder la queue de peloton avec dédain.\nVous augmentez votre régénération d'endurance de 20 % lorsque vous sprintez.,Abbandona i tuoi nemici nello specchietto retrovisore.\nAumenta la rigenerazione del vigore del 20% quando scatti.,先頭を走り続けましょう。\nダッシュ中スタミナ回復量20%増加。,후방 거울에 적을 남기고 떠나갑니다.\n전력 질주 시 스태미너 재생성이 20% 증가합니다.,Zostaw wrogów w tyle.\nZwiększ regenerację wytrzymałości o 20% podczas sprintu.,Seus inimigos vão ficar comendo poeira.\nAumenta em 20% a regeneração de vigor ao correr.,Враги будут видны разве что в зеркало заднего вида.\nПовышает восстановление выносливости при беге на 20%.,Düşmanlarını dikiz aynasında bırak.\nDepar atarken dayanıklılık yenilemesini %20 artır.,所有的敌人都只能吃你的尾气。\n冲刺时体力再生速度加快 20%。,把敵人通通甩在身後。\n衝刺時耐力恢復速度加快 20%。
perkRuleOneCardioNameRank3Desc,progression,perk For,,,Joggernaut,,Marathoni,Corredor imparable,Marathonien,Macchina da corsa,ジョガーノート,저거너트,Niszczyciel,Imparável,Бегонавт,Feci Koşucu,慢跑战神,爆走怪客
perkRuleOneCardioNameRank3LongDesc,progression,perk For,,,Crush every mile with ease.\nIncrease stamina regen by 30% when sprinting.,,Die Meilen fliegen nur so davon.\nErhöht die Ausdauerwiederherstellung beim Sprinten um 30 %.,Supera cada kilómetro con facilidad.\nAumenta la regeneración de la resistencia en un 30 % al correr.,Vous êtes infatigable.\nVous augmentez votre régénération d'endurance de 30 % lorsque vous sprintez.,Percorri chilometri con facilità.\nAumenta la rigenerazione del vigore del 30% quando scatti.,軽々と駆け抜けます。\nダッシュ中スタミナ回復量30%増加。,매 킬로미터를 쉽게 돌파합니다.\n전력 질주 시 스태미너 재생성이 30% 증가합니다.,Bez trudu pokonuj każdy dystans.\nZwiększ regenerację wytrzymałości o 30% podczas sprintu.,Corra por quilômetros sem nem suar.\nAumenta em 30% a regeneração de vigor ao correr.,Преодолевайте каждую милю на космической скорости.\nПовышает восстановление выносливости при беге на 30%.,Kilometreleri kolaylıkla geç.\nDepar atarken dayanıklılık yenilemesini %30 artır.,轻轻松松应对每一公里。\n冲刺时体力再生速度加快 30%。,每一步都踏出壓倒性的氣勢。\n衝刺時耐力恢復速度加快 30%。
perkRuleOneCardioNameRank4Desc,progression,perk For,,,Marathoner,,Marathonläufer,Maratonista,Adepte des marathons,Maratoneta,マラソン選手,마라토너,Maratończyk,Maratonista,Марафонец,Maratoncu,马拉松运动员,馬拉松選手
perkRuleOneCardioNameRank4LongDesc,progression,perk For,,,"Outlast, outrun, outlive.\nPermanently add 25 max stamina.",,"Härter, schneller, lebendiger.\nErhöht max. Ausdauer permanent um 25.","Perdurar, sobrevivir y correr más que nadie.\nAgrega de forma permanente 25 puntos de resistencia máx.","Courez plus vite, plus longtemps et restez en vie.\nAugmente définitivement l'endurance max. de 25 points.","Resisti, sorpassa, sopravvivi.\nAggiunge in modo permanente 25 di vigore massimo.",長続きし、追い抜き、生き延びます。\n最大スタミナ25増加。,"더 오래 버티고, 더 오래 뛰고, 더 오래 살아남으세요.\n최대 스태미너가 영구적으로 25 올라갑니다.",Walczysz o przetrwanie.\nNa stałe dodaje dodatkowe 25 pkt. do maksymalnej wytrzymałości.,"Supere, fuja, sobreviva.\nAdiciona ao máximo de vigor.","Продержитесь, пробегите, переживите.\nНавсегда добавляет 25 к макс. выносливости.","Daha dayanıklı ol, daha hızlı koş, daha uzun yaşa.\nMaksimum dayanıklılığa kalıcı olarak 25 puan ekler.",体力更强，跑得更远，活得更久。\n永久增加 25 点最大体力。,堅持、奔跑、生存。\n最大耐力永久增加 25 點。
perkRuleOneCardioNameRank5Desc,progression,perk For,,,Triathlete,,Triathlet,Triatleta,Triathlète,Triatleta,トライアスリート,철인 3종 경기 선수,Triatlonista,Triatleta,Триатлонист,Triatlon Koşucusu,铁人三项运动员,鐵人三項選手
perkRuleOneCardioNameRank5LongDesc,progression,perk For,,,The ultimate test of endurance is like a walk in the park.\nPermanently adds an additional 25 max stamina.,,Die ultimative Ausdauerprüfung ist kaum mehr als ein Spaziergang.\nErhöht max. Ausdauer permanent um weitere 25.,La prueba definitiva de resistencia es pan comido.\nAgrega de forma permanente 25 puntos de resistencia máx. adicionales.,Le test d'endurance ultime est comme une promenade de santé.\nAugmente définitivement l'endurance max. de 25 points supplémentaires.,La prova di resistenza definitiva è come una passeggiata nel parco.\nAggiunge in modo permanente altri 25 di vigore massimo.,究極の体力テストも朝飯前です。\n最大スタミナがさらに25増加。,궁극의 지구력 테스트도 공원에서의 산책 수준입니다.\n최대 스태미너가 영구적으로 25 올라갑니다.,Ostateczny test wytrzymałościowy to dla ciebie pestka.\nNa stałe dodaje dodatkowe 25 pkt. do maksymalnej wytrzymałości.,O teste supremo de resistência é como dar uma voltinha no parque.\nAdiciona mais 25 ao máximo de vigor.,"Сложнейший тест на выносливость для вас — всё равно, что прогулка в парке.\nНавсегда добавляет еще 25 к макс. выносливости.","En çetin dayanıklılık sınavı, senin için çocuk oyuncağı.\nMaksimum dayanıklılığa kalıcı olarak 25 puan daha ekler.",终极耐力测试对你来说就像散步一样轻松。\n永久额外增加 25 点最大体力。,極限耐力的考驗對你來說如閒庭信步。\n最大耐力永久額外增加 25 點。
perkSiphoningStrikesDesc,progression,perk For,,,"With every hit, you take a piece of them.",,Mit jedem Treffer nimmst du einen Teil von ihnen.,"Con cada golpe, te llevas una parte de ellos.","À chaque coup, vous emportez une partie d'eux.","A ogni colpo, gli porti via un pezzo.",攻撃するたびに、敵の一部を奪います。,공격이 명중할 때마다 하나씩 가져갑니다.,Każde uderzenie pozbawia wroga kawałka ciała.,"A cada acerto, você suga um pedacinho.",С каждым ударом вы пополняете свое здоровье.,Her vuruşta onlardan bir parça al.,每一击都能从敌人身上汲取力量。,每次出手，都奪走敵人一部分生命。
perkSiphoningStrikesName,progression,perk For,,,Siphoning Strikes,,Entleerender Schlag,Golpes de absorción,Frappes siphonnantes,Colpo travasante,サイフォン攻撃,흡수 공격,Ataki zasysające,Ataques Drenantes,Ураганные удары,Soğuran Vuruşlar,虹吸打击,奪命連擊
perkSiphoningStrikesRank1Desc,progression,perk For,,,First Cut,,Erster Schnitt,Primer corte,Première coupure,Primo assaggio,ファーストカット,첫 베기,Pierwsze cięcie,Primeiro Corte,Первая кровь,İlk Yara,初尝鲜血,第一滴血
perkSiphoningStrikesRank1LongDesc,progression,perk For,,,Your first taste of combat fuels you.\nMelee kills grant 2 HP.,,Dein erster Geschmack des Kampfes treibt dich an.\nNahkampftötungen gewähren 2 GP.,Tu primera experiencia de combate te llena de energía.\nLas muertes por ataques cuerpo a cuerpo otorgan 2 PS.,Goûter au combat vous dynamise.\nLes éliminations en mêlée octroient 2 PV.,Il tuo esordio in combattimento ti rafforza.\nLe uccisioni corpo a corpo forniscono 2 PS.,初めての戦闘が、あなたを奮い立たせます。\n近接攻撃で敵を殺すたびに体力が2回復します。,전투의 첫 맛이 당신에게 힘을 줍니다.\n근접 처치 시 2 HP를 받습니다.,Pierwsze zwycięstwa dodają ci energii.\nZabójstwa w walce w zwarciu dają 2 PŻ.,O primeiro gostinho do combate é o que te move.\nAbates corpo a corpo dão 2 de PV.,Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою дают 2 ОЖ.,İlk dövüş deneyimin seni körükler.\nYakın dövüş öldürmeleri 2 Sağlık kazandırır.,你对战斗的初次体验为你提供动力。\n近战击杀恢复 2 点生命值。,首次嘗到戰鬥的滋味便讓你興奮不已。\n近戰擊殺恢復 2 點生命值。
perkSiphoningStrikesRank2Desc,progression,perk For,,,Wound Licker,,Wundenlecker,Lamedor de heridas,Léchage de plaie,Leccarsi le ferite,傷口リッカー,상처 핥는 사람,Lizanie ran,Lambe-feridas,Вкус ран,Yara Yalayan,舔伤者,舔傷者
